"timezeroLabs","timezeroNinfo","timezeroCinfo","GCrun"
"M1-A-13-T0",0.303640878141575,287.709204431644,"20140417_K"
"M1-B-13-T0",0.365574410422498,364.254222285848,"20140417_K"
"M1-C-13-T0",0.351443031189075,240.677987633203,"20140417_K"
"M1-D-13-T0",0.349409147156312,237.100734618907,"20140417_K"
"M1-E-13-T0",0.371640792855481,222.059878655357,"20140417_K"
"SM-A-13-T0",0.360613144169167,339.368602093918,"20140417_K"
"SM-B-13-T0",0.373862781769888,513.339608138643,"20140417_K"
"SM-C-13-T0",0.375120733165875,485.280712768728,"20140417_K"
"SM-D-13-T0",0.360072342634443,407.116856193652,"20140417_K"
"SM-E-13-T0",0.38842915354211,351.268384011363,"20140417_K"
"M2-A-18-T0",0.383362078292854,317.457195537443,"20140417_K"
"M2-B-18-T0",0.400091656203969,425.802294810884,"20140417_K"
"M2-C-18-T0",0.363810927157096,413.211652245834,"20140417_K"
"M2-D-18-T0",0.390110340921793,410.77022097421,"20140417_K"
"M2-E-18-T0",0.3879471347829,410.336969381644,"20140417_K"
"SM-A-18-T0",0.376190579680219,491.99903982913,"20140417_K"
"SM-B-18-T0",0.385654606537877,369.634738685421,"20140417_K"
"SM-C-18-T0",0.408579888988105,445.933856987087,"20140417_K"
"SM-D-18-T0",0.428213336009582,387.948400598221,"20140417_K"
"SM-E-18-T0",0.379799842096742,385.489405072845,"20140417_K"
"M1-A-10-T0",0.409967162490221,427.684597338047,"20140417_K"
"M1-B-10-T0",0.360707196609988,250.244651177166,"20140417_K"
"M1-C-10-T0",0.417538383976347,494.528292369517,"20140417_K"
"time zero mean",0.377903458643222,377.357282862553,"20140417_K"
"time zero sd",0.0264352165463763,86.275043224451,"20140417_K"
"time zero CV",0.0699523011546018,0.22862959625421,"20140417_K"
"time zero sd allow",2,2,"20140417_K"
"time zero upper limit",0.430773891735975,549.907369311455,"20140417_K"
"time zero lower limit",0.32503302555047,204.807196413651,"20140417_K"
