"timezeroLabs","timezeroNinfo","timezeroCinfo","GCrun"
"M2-A-01-T0",0.323103708611555,344.018564569014,"20140418_P"
"M2-B-01-T0",0.346462847301779,502.382479746879,"20140418_P"
"M2-C-01-T0",0.364178827065998,409.566784651023,"20140418_P"
"M2-D-01-T0",0.371100053344584,429.6802838817,"20140418_P"
"M2-E-01-T0",0.382396202483922,400.934851939575,"20140418_P"
"M3-A-02-T0",0.361917630980665,586.875118523039,"20140418_P"
"M3-B-02-T0",0.332659719893919,616.225966564001,"20140418_P"
"M3-C-02-T0",0.38874721409751,483.55098360455,"20140418_P"
"M3-D-02-T0",0.339502295873884,612.5896108509,"20140418_P"
"M3-E-02-T0",0.348104672285478,544.299995234061,"20140418_P"
"F3-A-02-T0",0.322759613555091,593.225351437348,"20140418_P"
"F3-B-02-T0",0.384745880155203,536.1463227421,"20140418_P"
"F3-C-02-T0",0.337703170292945,469.010544431515,"20140418_P"
"F3-D-02-T0",0.378768457460061,537.335330787771,"20140418_P"
"F2-A-03-T0",0.322159905028111,608.324461697929,"20140418_P"
"F2-B-03-T0",0.356795530283019,503.073300063916,"20140418_P"
"F2-C-03-T0",0.333288922282881,447.319450726833,"20140418_P"
"F2-D-03-T0",0.339344995276643,409.287799522988,"20140418_P"
"M1-C-07-T0",0.357208444350776,632.990464677742,"20140418_P"
"M1-E-07-T0",0.37159161771096,427.843631788806,"20140418_P"
"time zero mean",0.353126985416749,504.734064872085,"20140418_P"
"time zero sd",0.021708999352907,86.0789754270863,"20140418_P"
"time zero CV",0.0614764666803549,0.170543225468448,"20140418_P"
"time zero sd allow",2,2,"20140418_P"
"time zero upper limit",0.396544984122563,676.892015726257,"20140418_P"
"time zero lower limit",0.309708986710935,332.576114017912,"20140418_P"
