"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"F1-A-24-T0",0.159380289568698,274.744724833262,1.18393334414634,"20131104_AA"
"F1-B-24-T0",0.152493821420528,459.132571473146,1.16468003374446,"20131104_AA"
"F1-C-24-T0",0.203607640225785,288.404383946332,1.1200413654497,"20131104_AA"
"F1-D-24-T0",0.193171921425613,267.871601856547,1.15300936271319,"20131104_AA"
"F1-E-24-T0",0.169521005717274,277.227660985218,1.31870651695946,"20131104_AA"
"M2-A-23-T0",0.162643756401967,207.58375911697,1.15380059464751,"20131104_AA"
"M2-B-23-T0",0.144874456059802,238.726939428215,1.16336131385392,"20131104_AA"
"M2-C-23-T0",0.200376439307534,231.624478333788,1.1926368954239,"20131104_AA"
"M2-D-23-T0",0.131700743899515,200.460236358672,1.22448398078042,"20131104_AA"
"M2-E-23-T0",0.178795151576791,175.214321931433,1.18281243223938,"20131104_AA"
"S3-A-23-T0",0.190106659498885,218.772183002457,1.16481190573352,"20131104_AA"
"S3-B-23-T0",0.212734284759504,275.772065993213,1.18617516796025,"20131104_AA"
"S3-C-23-T0",0.20992715015292,241.296462420531,1.16969116932851,"20131104_AA"
"S3-D-23-T0",0.221303189905051,224.156948398924,1.21406609364516,"20131104_AA"
"S3-E-23-T0",0.197417193958722,198.630211786731,1.17931782452945,"20131104_AA"
"F3-A-23-T0",0.181265798783898,228.406724131206,1.20015359879997,"20131104_AA"
"F3-B-23-T0",0.180237898919747,225.460431374079,1.17859252858965,"20131104_AA"
"F3-C-23-T0",0.147644715334936,197.139514021608,1.14021777977496,"20131104_AA"
"F3-D-23-T0",0.168405526940931,238.605249814735,1.22857201244109,"20131104_AA"
"F3-E-23-T0",0.192125583895738,229.377900854167,1.3348278676213,"20131104_AA"
"M3-A-24-T0",0.180371571996251,223.834002886228,1.23687994775149,"20131104_AA"
"M3-B-24-T0",0.21500211764364,242.850345177269,1.41912703662403,"20131104_AA"
"M3-C-24-T0",0.206626807988202,248.637622372167,1.4042584698582,"20131104_AA"
"M3-D-24-T0",0.189760953266547,272.041811303093,1.21004399797902,"20131104_AA"
"M3-E-24-T0",0.177900924789143,213.612075353953,1.19402155130896,"20131104_AA"
"S2-A-24-T0",0.169507177467981,263.972853855455,1.17311984104391,"20131104_AA"
"S2-B-24-T0",0.193176530842045,409.476188618901,1.42499534013693,"20131104_AA"
"S2-C-24-T0",0.201104727103659,395.804828581458,1.14555859533164,"20131104_AA"
